JobID	GroupID	Title	Description	Requirements	City	State	Country	Zip5	StartDate	EndDate
1	1	Security Engineer/Technical Lead	<p>Security Clearance Required:&nbsp; Top Secret </p>\r<p>Job Number: TMR-447</p>\r<p>Location of Job:&nbsp; Washington, DC</p>\r<p>TMR, Inc. is an Equal Employment Opportunity Company</p>\r<p>For more job opportunities with TMR, visit our website <a href="http://www.tmrhq.com/">www.tmrhq.com</a></p>\r<p>Send Resumes to HR@tmrhq2.com</p>\r<p>&nbsp;</p>\r<p>JOB SUMMARY:</p>\r<p>&nbsp;</p>\r<p>Leads the customer&rsquo;s overall Cyber Security strategy, formalizes service offerings consisted with ITIL best practices, and provides design and architecture support.</p>\r<p>&nbsp;</p>\r<ul>\r    <li>Provide security design / architecture support for OJP&rsquo;s IT Security Division (ITSD) </li>\r    <li>Leads the SECOPS team in the day to day OJP Security Operations support&nbsp; </li>\r    <li>Provides direction when needed in a security incident or technical issues </li>\r    <li>Works in concert with network operations on design /integration for best security posture</li>\r    <li>Supports business development functions including Capture Management, Proposal Development and responses, and other initiatives to include conferences, trade shows, webinars, developing white papers and the like.</li>\r    <li>Identifies resources and mentors in-house talent to ensure TMR remains responsive to growing initiatives and contracts with qualified personnel.&nbsp;&nbsp; </li>\r</ul>\r<p>&nbsp;</p>\r<p><a href="https://www.tmrhq.com/jobapplicationstep1.aspx"><span></span></a>&nbsp;</p>	<p>SKILL SET</p>\r<p>&nbsp;</p>\r<p>Network Security tools:</p>\r<p>&nbsp;</p>\r<p>Webdefend Web Application Firewall (WAF), Cisco Routers, Fortigate 3800 Firewall series, Palo Alto 4000 firewall series, Cisco ASA 5xx Firewall Platform, Cisco&nbsp; FWSM,&nbsp; SourceFire Defense Center, SourceFire IP Sensor Platform, BlueCoat SG Appliance, F5 BigIP(reverse proxy).</p>\r<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </p>\r<p>Web Application tools:&nbsp; </p>\r<p>&nbsp;</p>\r<p>AppDective, Fortify SCA, HP WebInspect, and the like.</p>\r<p>&nbsp;</p>\r<p>Network Vulnerability tools:&nbsp; </p>\r<p>&nbsp;</p>\r<p>Tenable Security Center, McAfee Foundstone scanner, Cain and Able, L0phtcrack - Password Cracker, Nessus Vulnerability Scanner, NMAP &ndash; Port Scanner, and other scanning and vulnerability mapping tools.&nbsp; </p>\r<p>&nbsp;</p>\r<p>&nbsp;</p>\r<p>DESIRABLE SKILLS:</p>\r<p>&nbsp;</p>\r<p>CISSP and/or related Certifications</p>\r<p>&nbsp;</p>\r<p>EDUCATION AND YEARS OF EXPERIENCE:</p>\r<p>&nbsp;</p>\r<p>BS Computer Science or related discipline; minimum of 8 years in IT Security; minimum 4 years in Senior/Lead position</p>\r<p>&nbsp;</p>\r<p><a href="https://www.tmrhq.com/jobapplicationstep1.aspx"><span>APPLY HERE</span></a></p>	Washington	DC	US	20531	2012-03-07 13:17:01.643	2012-04-06 23:59:59
4	1	SAP Business Analyst / WM	<strong>NO Corp. to Corp resumes&nbsp;are being considered for this &ldquo;Direct Hire" permanent position</strong>\r<p><strong>H-1B Transfers ARE Available for Qualified Candidates with 5+ years of WM experience<br />\r</strong>&nbsp;</p>\r<p><b>SAP/ WM Warehouse Management Sr. Business Analyst</b></p>\r<p>Position&rsquo;s Location is the Charlotte, NC metro area<br />\r<br />\r</p>\r<p><i>We are currently seeking a Senior SAP Business Analyst with a minimum of 5 years of SAP/ WM Warehouse Management experience for a "<b>direct hire opportunity"</b> in the Charlotte, NC area. The successful candidate will have expertise providing requirements development, hands-on day-to-day support of internal customers and relaying their specifications to technical analysts. In this role you will develop best business practice knowledge and support the business in integrating this into SAP solution. </i><i></i></p>\r<p><b></b>&nbsp;</p>\r<p><b>You will serve as &hellip;</b></p>\r<p>A liaison to the business unit and define and support the SAP WM applications. You&rsquo;ll provide expertise in SAP WM &hellip;warehouse management and execution converting legacy systems to SAP. Additionally, you&rsquo;ll offer your expertise with configurations, implementations, customization support and conditioning techniques. This role is accountable for providing hands-on day-to-day support to the business units as needed, including gathering business requirements from internal customers and relaying those needs to their technical analysts. The role supports the business in integrating legacy systems into SAP solutions and integrates with SAP Roll-Out teams to provide the Business unit with Customization Support.</p>\r<p><b></b>&nbsp;</p>\r<p><b>WHAT YOU WILL CONTRIBUTE:</b></p>\r<p>Identify business stakeholders and areas of impact. </p>\r<p>Gather and analyze business requirements from clients and stakeholders. </p>\r<p>Complete impact assessments that outline the technical impact of new functionality and enhancements. </p>\r<p>Model Use Cases. </p>\r<p>Create and maintain requirements traceability. </p>\r<p>Research and identify opportunities for the business to distinguish itself as a leader in the manufacturing industry. </p>\r<p>Research the manufacturing industry to identify leading examples and best-in-class implementations. </p>\r<p>Help define functional strategy and vision and identify opportunities to innovate. </p>\r<p>Schedule, coordinate, prepare and facilitate requirements gathering sessions. </p>\r<p>Peer review team member requirements for completeness and accuracy. </p>\r<p>Facilitate requirements prioritization sessions. </p>\r<p>Obtain approval and business sign-off on requirements. </p>\r<p>Integrate with SAP Roll Out teams to provide Business and Customization Support for SAP warehouse applications and non SAP applications.</p>\r<p>&nbsp;</p>\r<p><b>What you will Gain:</b> </p>\r<p>Full-time employment <b>&ldquo;direct hire"</b> with a well-established company in a great location! Competitive salary, excellent benefits &hellip; PTO, insurance package, 401K etc. Relocation is provided. You will be working with a strong group of technical associates in an excellent work environment for a company that provides stable employment opportunities &hellip; working for one of the Charlotte, NC areas premier employers. Great Team and work environment!</p>	<p><b>WHAT YOU NEED: </b></p>\r<p>Four year college degree</p>\r<p>Minimum 5 to 8+ years of SAP experience</p>\r<p>3-5 years experience working with WM SAP module ... need strength in a manufacturing environment converting legacy systems to SAP, expertise with configurations, implementations, customization support and conditioning techniques.</p>\r<p>2 full life cycle implementations of SAP WM (new implementations or conversion from legacy applications preferred.</p>\r<p>Experience working in a manufacturing environment</p>\r<p>5 to 8 years of functional experience</p>\r<p>Strong Microsoft Office skills </p>\r<p>Ability to work with an appropriate sense of urgency and drive for results. </p>\r<p>Must be well organized with the ability to handle multiple assignments and prioritize appropriately. </p>\r<p><b><br />\r</b>&nbsp;</p>	Charlotte	NC	US	28217	2012-03-21 02:03:44.137	2012-04-20 23:59:59
7	1	P/T HUMAN RESOURCES ASSISTANT	<b>    <b> P/T HUMAN RESOURCES ASSISTANT</b> </b>  ââ  1-2 years experience in HR & Benefits, strong customer service, interview and speaking skills. Fax Resume and Questions to 407.645.0157                 WEB OS16509              <p>                 \r\n                \r\n                 <br /><br />Source - Orlando Sentinel	Please refer to the Job Description to view the requirements for this job	Winter Park	FL	US	32792	2012-03-02 16:36:55.447	2012-04-01 23:59:59
8	1	Route Delivery Drivers	CITY BEVERAGES Come to work for the best in the business! City Beverages, the Premier distributor of Anheuser Busch products has the following Full Time career opportunity: ROUTE DELIVERY DRIVERS Qualified candidates will be self-motivated and possesses a clean CDL Class ?A? license. Competitive salary, benefits and opportunity for advancement. Apply in person at our facility: 10928 Florida Crown Drive, Airport Industrial Park. EEO/DFWP <br><br>Source - Orlando Sentinel	Please refer to the Job Description to view the requirements for this job	Orlando	FL	US		2012-03-03 09:01:10.077	2012-04-02 23:59:59
9	1	Housekeeping	I make  sure every part of their day is magical. I am Disney. Dreams. That?s what you?ll find at the Walt Disney World? Resort. There are many guest service and entertainment roles in which our cast members bring Disney dreams to life. From our enchanted Theme Parks and world-class Resort Hotels to our spectacular shows and beloved characters, Walt Disney World Resort cast members have a world of opportunity and take pride in turning dreams into realities. Opportunities currently available: Housekeeping ? Bus Drivers ? Custodial Recreation ? Stewards ? Culinary ? Lifeguards Quick Service Food and Beverage Character Look-alike Performers For more information and to apply online, visit WaltDisneyWorld.jobs/NowHiring Apply online today! EOE ? Drawing Creativity from Diversity ? Disney <br><br>Source - Orlando Sentinel	Please refer to the Job Description to view the requirements for this job	Orlando	FL	US		2012-03-03 09:01:11.88	2012-04-02 23:59:59
10	1	SALON/SPA COORDINATOR	<b>    <b>â SALON/SPA COORDINATOR                    </b> </b>   â Daytona College in Ormond Beach, Florida is currently interviewing for a Salon/Spa Coordinator. The primary role of the Salon/Spa Coordinator is responsible for greeting guests, customer check-in and check-out, answer phone lines, and schedule salon/spa reservations.                            \r\n \r\n <b>Requirements</b> \r\n              â¢ Experience in a retail setting with some office skills will provide you with the best experience to do well in this position.                           \r\n              â¢ Professional in appearance                           \r\n              â¢ Proficiency with computer and experience using Excel is required                           \r\n              â¢ Strong attention to detail and very good organizational skills                           \r\n              â¢ Experience with cosmetic application a plus or willingness to learn!!                           \r\n              â¢ Pleasant personality and ability to make conversation with guests.                            \r\n \r\n              If you are interested, please email your resume to                \r\n              <a href="mailto:campusdirector@daytonacollege.edu">campusdirector@daytonacollege.edu</a>   WEB OS30047              <p>                 \r\n                \r\n                 <br /><br />Source - Orlando Sentinel	Please refer to the Job Description to view the requirements for this job	Ormond Beach	FL	US	32174	2012-03-05 14:21:50.203	2012-04-04 23:59:59
11	1	SUPERINTENDENT	<b>    <b>SUPERINTENDENT</b> </b>  ââ  Central Florida General Contractor seeks experienced Superintendent for commercial projects. Email resume to                           \r\n               <a href="mailto:Jim@hembreeconstruction.com">Jim@hembreeconstruction.com</a>                 WEB OS15396              <p>                 \n                \n                 <br><br>Source - Orlando Sentinel	Please refer to the Job Description to view the requirements for this job	Orlando	FL	US	32801	2012-03-06 09:21:54.58	2012-04-05 23:59:59
12	1	ELECTRONIC PRE-PRESS PROFESSIONAL	<b>    <b>ELECTRONIC PRE-PRESS PROFESSIONAL</b> </b>  ââ For comm Sheet-fed Printer.                            \r\n              Adobe, CS5 Suite, Rampage 12, RIP Software, Metrix Imposition, Preps, MAC OS X. Min 5 yrs exp, data & digital exp a plus. Contact Bill               \r\n              407-889-3100 or Fax 407-889-0993.                WEB OS18416              <p>                 \n                \n                 <br><br>Source - Orlando Sentinel	Please refer to the Job Description to view the requirements for this job	Orlando	FL	US	32808	2012-03-06 11:21:53.63	2012-04-05 23:59:59
13	1	UTILITY LINE TRUCK OPERATOR/ DIGGER DERRICK	<b>     </b> \r\n <b>    <b>UTILITY LINE TRUCK OPERATOR/ DIGGER DERRICK OPERATOR </b> </b> \r\n \r\n              Tri-City Electrical Contractors Inc. is looking for a full time digger derrick operator. Must have current exp. in setting\r\nlighting poles and bases on construction sites. Requires\r\nclass A CDL, clean MVR, and 10 sp road ranger exp.\r\nCall 407-788-3059 ext 1184, or e-mail bruce.beane@tcelectric.com for appt.\r\n  \r\n <b>     EOE M/F/V/D, a Drug Free Workplace  </b>  WEB OS19365              <p>                 \r\n                \r\n                 <br /><br />Source - Orlando Sentinel	Please refer to the Job Description to view the requirements for this job	Orlando	FL	US	32801	2012-03-06 16:06:53.677	2012-04-05 23:59:59
14	1	CONSTRUCTION PROJECT MGR & PM TRAINEE	<b>    <b>CONSTRUCTION PROJECT MGR </b> </b> \r\n <b>    <b> & PM TRAINEE  </b> </b>  ââ                \r\n              Commercial GC -                \r\n              PM with BCN or Engineering               \r\n               Degree Min. 3 yrs PM Exp. &\r\n               3 years Field Exp Commercial construction PM Trainee BCN w/3 yr + field exp. Salary, bonus, profit sharing, Insur. & 401K    \r\n\r\nWalker & Company is a Commercial General Contractor serving Central Florida since 1974.  We are currently expanding our staff - Walker & Company employees have an average tenure of 15 years.                           \r\n           \r\n \r\n              \r\n\r\nApply in person to complete short form application (after 1:30PM)              \r\n                 WALKER & COMPANY                              \r\n  931 N. Pennsylvania Ave                \r\n              Winter Park, FL 32789                \r\n              Applicants Only, EOE  WEB OS26272              <P>                 \r\n                \r\n                 <BR><BR>Source - Orlando Sentinel	Please refer to the Job Description to view the requirements for this job	Winter Park	FL	US	32789	2012-03-07 10:21:37.467	2012-04-06 23:59:59
