ProFunds Short Precious Metals Inv,SPPIX,NA
ProFunds Short Precious Metals Svc,SPPSX,NA
ProFunds Biotechnology UltraSector Inv,BIPIX,4
ProFunds Biotechnology UltraSector Svc,BIPSX,3
Fidelity? Select Biotechnology Portfolio,FBIOX,5
Fidelity Advisor? Biotechnology I,FBTIX,5
Fidelity Advisor? Biotechnology A,FBTAX,4
Fidelity Advisor? Biotechnology T,FBTTX,4
Fidelity Advisor? Biotechnology C,FBTCX,4
Fidelity Advisor? Biotechnology B,FBTBX,4
Franklin Biotechnology Discovery R6,FRBRX,4
Franklin Biotechnology Discovery Adv,FTDZX,4
Franklin Biotechnology Discovery A,FBDIX,4
ProFunds UltraJapan Inv,UJPIX,1
ProFunds UltraJapan Svc,UJPSX,1
FX Strategy A,FXFAX,NA
FX Strategy I,FXFIX,NA
Rydex Biotechnology Inv,RYOIX,4
Rydex Biotechnology A,RYBOX,4
Prudential Jennison Health Sciences Z,PHSZX,5
Prudential Jennison Health Sciences A,PHLAX,4
Rydex Biotechnology C,RYCFX,4
Prudential Jennison Health Sciences R,PJHRX,5
ProFunds UltraSector Health Care Inv,HCPIX,1
Prudential Jennison Health Sciences C,PHLCX,5
Prudential Jennison Health Sciences B,PHLBX,5
Eventide Healthcare & Life Sciences I,ETIHX,NA
Eventide Healthcare & Life Sciences N,ETNHX,NA
Eventide Healthcare & Life Sciences A,ETAHX,NA
ProFunds UltraSector Health Care Svc,HCPSX,1
ProFunds Utilities UltraSector Svc,UTPSX,1
Eventide Healthcare & Life Sciences C,ETCHX,NA
Pioneer Growth Opportunities Y,GROYX,3
Pioneer Growth Opportunities A,PGOFX,1
Pioneer Growth Opportunities C,GOFCX,1
Equinox Campbell Strategy P,EBSPX,NA
Equinox Campbell Strategy A,EBSAX,NA
Equinox Campbell Strategy I,EBSIX,NA
Direxion Mthly NASDAQ0100 Bull 2X Inv,DXQLX,3
Turner Medical Sciences Long/Short Instl,TMSEX,5
LoCorr Market Trend I,LOTIX,NA
Ancora MicroCap I,ANCIX,5
Rydex Dynamic NASDAQ0100 2X Strategy H,RYVYX,1
Rydex Dynamic NASDAQ0100 2X Strategy A,RYVLX,3
LoCorr Market Trend A,LOTAX,NA
Turner Medical Sciences Long/Short Inv,TMSFX,5
Eaton Vance Worldwide Health Sci I,EIHSX,3
Turner Medical Sciences Long/Short C,TMSCX,5
ProFunds UltraNASDAQ0100 Inv,UOPIX,1
Eaton Vance Worldwide Health Sci A,ETHSX,1
T. Rowe Price Health Sciences,PRHSX,5
Ancora MicroCap C,ANCCX,4
Eaton Vance Worldwide Health Sci R,ERHSX,5
Rydex Dynamic NASDAQ0100 2X Strategy C,RYCCX,1
VALIC Company I Health Sciences,VCHSX,5
Eaton Vance Worldwide Health Sci C,ECHSX,1
Eaton Vance Worldwide Health Sci B,EMHSX,1
ProFunds UltraNASDAQ0100 Svc,UOPSX,1
Marshall Emerging Markets Equity A,MAEMX,NA
Rydex Strengthening Dollar 2x Strategy A,RYSDX,NA
Rydex Strengthening Dollar 2x Strategy H,RYSBX,NA
BlackRock Health Sciences Opps Instl,SHSSX,5
BlackRock Health Sciences Opps Svc,SHISX,3
BlackRock Health Sciences Opps Inv A,SHSAX,5
BlackRock Health Sciences Opps R,BHSRX,3
Rydex Strengthening Dollar 2x Strategy C,RYSJX,NA
Putnam Global Health Care Y,PHSYX,1
BlackRock Health Sciences Opps Inv C,SHSCX,5
BlackRock Health Sciences Opps Inv B,SHSPX,5
Putnam Global Health Care A,PHSTX,1
JHFunds2 Index 500 NAV,JIFNX,3
Putnam Global Health Care R,PHSRX,1
Putnam Global Health Care M,PHLMX,1
Putnam Global Health Care C,PCHSX,1
Putnam Global Health Care B,PHSBX,1
ProFunds UltraShort Latin America Inv,UFPIX,NA
ALPS|Kotak India Growth I,INDIX,3
Janus Worldwide A,JDWAX,1
Janus Worldwide R,JDWRX,3
Janus Global Life Sciences I,JFNIX,5
Janus Global Life Sciences D,JNGLX,4
Janus Global Life Sciences T,JAGLX,4
Janus Global Life Sciences A,JFNAX,3
Matthews India Instl,MIDNX,4
ProFunds UltraShort Latin America Svc,UFPSX,NA
Janus Global Life Sciences S,JFNSX,4
Deutsche Health and Wellness S,SCHLX,3
Matthews India Investor,MINDX,3
Deutsche Health and Wellness Instl,SUHIX,3
Janus Worldwide C,JWWCX,3
ProFunds Pharmaceuticals UltraSector Inv,PHPIX,1
Deutsche Health and Wellness A,SUHAX,3
ICON Utilities S,ICTUX,1
Virtus Mid0Cap Core I,VIMCX,4
Virtus Mid0Cap Core A,VMACX,3
ICON Utilities A,ICTVX,1
Janus Global Life Sciences C,JFNCX,4
Deutsche Health and Wellness B,SUHBX,3
Deutsche Health and Wellness C,SUHCX,3
