"","YHOO","GOOG","MSFT"
"1","42.5","767.01","57.66"
"2","42.53","766.4","57.68"
"3","42.59","766.5","57.7"
"4","42.6","766.75","57.71"
"5","42.71","766.87","57.7437"
"6","42.75","766.8285","57.73"
"7","42.7","766.85","57.695"
"8","42.72","767.2","57.735"
"9","42.67","767.48","57.68"
"10","42.7","767.91","57.5934"
"11","42.73","767.92","57.585"
"12","42.72","768.43","57.64"
"13","42.75","768.57","57.625"
"14","42.65","767.94","57.575"
"15","42.61","768.4","57.625"
"16","42.65","768.01","57.59"
"17","42.6","767.485","57.6234"
"18","42.66","768.295","57.63"
"19","42.66","768.47","57.635"
"20","42.66","768.39","57.69"
"21","42.65","768.47","57.67"
"22","42.69","768.4925","57.6"
"23","42.67","768.36","57.54"
"24","42.72","768.52","57.53"
"25","42.735","768.5313","57.55"
"26","42.7","768.55","57.575"
"27","42.76","768.65","57.6256"
"28","42.77","769","57.64"
"29","42.765","768.751","57.6"
"30","42.765","768.72","57.6"
"31","42.71","768.18","57.556"
"32","42.665","767.36","57.46"
"33","42.68","767.12","57.49"
"34","42.6444","766.7835","57.475"
"35","42.59","766.1748","57.33"
"36","42.58","765.78","57.379"
"37","42.61","765.85","57.342"
"38","42.59","765.72","57.34"
"39","42.62","765.946","57.36"
"40","42.63","766.14","57.3548"
"41","42.7","766.14","57.3699"
"42","42.68","765.91","57.355"
"43","42.7","765.92","57.375"
"44","42.65","765.74","57.39"
"45","42.66","766.0532","57.44"
"46","42.68","766.405","57.425"
"47","42.67","766.27","57.42"
"48","42.63","766.8","57.455"
"49","42.655","766.79","57.409"
"50","42.65","766.67","57.4"
"51","42.65","766.3833","57.391"
"52","42.675","766.53","57.455"
"53","42.65","766.3","57.37"
"54","42.66","766.4","57.3633"
"55","42.66","766.15","57.34"
"56","42.66","766.19","57.405"
"57","42.705","766.26","57.455"
"58","42.71","766.03","57.46"
"59","42.695","766.32","57.465"
"60","42.68","766.33","57.47"
"61","42.69","766.33","57.47"
"62","42.66","765.95","57.44"
"63","42.66","766.43","57.45"
"64","42.65","766.14","57.445"
"65","42.63","766.04","57.415"
"66","42.645","766.19","57.41"
"67","42.64","766.16","57.38"
"68","42.68","766.44","57.44"
